,Product_URL,Product_Name,Product_Price,Rating_list,Number_of_reviews,ASIN
376,https://www.amazon.in/American-Tourister-Polypropylene-LG4-002_Crimson/dp/B0BB2LKNXG/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-10,American Tourister KAMILIANT Polypropylene Hard 68 cms Luggage (LG4 (0) 00 002_Crimson)(46×68×28) cm Travel Bag,2899,4.2,121,B0BB2LKNXG
377,https://www.amazon.in/Capacity-Cosmetic-Portable-Cosmetics-Organizer/dp/B0BK922Y5N/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-11,"Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags(Pink)",799,4.3,107,B0BK922Y5N
378,https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-13,Wildcraft Work Packs'18 21 Ltrs Black Laptop Backpack (Streak Plus),1445,4.4,1885,B07FC4D9B5
379,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0519/dp/B07G4JQX2F/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-14,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,1049,4.4,5988,B07G4JQX2F
380,https://www.amazon.in/PETRICE-Multifunctional-Travel-Makeup-Organiser/dp/B07W22LC2D/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-15,PETRICE Multifunctional Travel Bag Extra Large Makeup Organiser with Hook (Navy Blue),499,4.2,1772,B07W22LC2D
381,https://www.amazon.in/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-16,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,999,4.4,2268,B07G4CYC74
382,https://www.amazon.in/Wesley-Briefcase-Professional-Messenger-Resistant/dp/B08K7PN23C/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-17,Wesley Xenon Laptop Bag,498,4.0,1064,B08K7PN23C
383,https://www.amazon.in/F-Gear-Tycoon-Laptop-Backpack/dp/B071XJ6XV5/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-18,F Gear Tycoon 27 Liters Laptop Backpack Sch Bag(Black),1168,4.4,202,B071XJ6XV5
384,https://www.amazon.in/F-Gear-Raider-Marpat-Navy-Backpack/dp/B07F1157TV/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-1,F Gear Raider 30 Liter Backpack with Rain Cover (.Marpat Navy Digital Camo),822,4.2,2869,B07F1157TV
385,https://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09P74TZY8/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-2,"SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)",664,4.4,810,B09P74TZY8
386,https://www.amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister Casual Backpack,1159,4.1,14190,B07CJCFNZG
387,https://www.amazon.in/Baggit-Autumn-Winter-Leather-Womens-Handbag/dp/B08SCDTRKP/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-5,Baggit Women Hobo Handbag (ROSE),595,4.2,177,B08SCDTRKP
388,https://www.amazon.in/Baggit-Womens-Satchel-Handbag-Grey/dp/B098TKJG1L/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-6,Baggit Women's Sling Bag (Grey),837,4.3,778,B098TKJG1L
389,https://www.amazon.in/Tabelito-Office-Laptop-Briefcase-Women/dp/B08FKXCJNQ/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-7,Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men,549,4.0,2371,B08FKXCJNQ
390,https://www.amazon.in/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-8,"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)",1599,4.4,373,B07PMQTB6T
391,https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-9,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,512,4.1,4860,B09321GJXZ
392,https://www.amazon.in/American-Tourister-Polypropylene-LG4-002_Crimson/dp/B0BB2LKNXG/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-10,American Tourister KAMILIANT Polypropylene Hard 68 cms Luggage (LG4 (0) 00 002_Crimson)(46×68×28) cm Travel Bag,2899,4.2,121,B0BB2LKNXG
393,https://www.amazon.in/Capacity-Cosmetic-Portable-Cosmetics-Organizer/dp/B0BK922Y5N/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-11,"Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags(Pink)",799,4.3,107,B0BK922Y5N
394,https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-13,Wildcraft Work Packs'18 21 Ltrs Black Laptop Backpack (Streak Plus),1445,4.4,1885,B07FC4D9B5
395,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0519/dp/B07G4JQX2F/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-14,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,1049,4.4,5988,B07G4JQX2F
396,https://www.amazon.in/PETRICE-Multifunctional-Travel-Makeup-Organiser/dp/B07W22LC2D/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-15,PETRICE Multifunctional Travel Bag Extra Large Makeup Organiser with Hook (Navy Blue),499,4.2,1772,B07W22LC2D
397,https://www.amazon.in/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-16,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan,999,4.4,2268,B07G4CYC74
398,https://www.amazon.in/Wesley-Briefcase-Professional-Messenger-Resistant/dp/B08K7PN23C/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-17,Wesley Xenon Laptop Bag,498,4.0,1064,B08K7PN23C
399,https://www.amazon.in/F-Gear-Tycoon-Laptop-Backpack/dp/B071XJ6XV5/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675340276&sprefix=ba%2Caps%2C283&sr=8-18,F Gear Tycoon 27 Liters Laptop Backpack Sch Bag(Black),1168,4.4,202,B071XJ6XV5
